origin_city,origin_state,destination_city,destination_state,lane_set,why_this_lane
Long Beach,CA,Phoenix,AZ,tier1_core,high demand metro to metro lane
Long Beach,CA,Las Vegas,NV,tier1_core,high demand metro to metro lane
Long Beach,CA,Seattle,WA,tier1_core,high demand metro to metro lane
Long Beach,CA,Tacoma,WA,tier1_core,high demand metro to metro lane
Long Beach,CA,Portland,OR,tier1_core,high demand metro to metro lane
Long Beach,CA,Salt Lake City,UT,tier1_core,high demand metro to metro lane
Long Beach,CA,Denver,CO,tier1_core,high demand metro to metro lane
Long Beach,CA,Dallas,TX,tier1_core,high demand metro to metro lane
Long Beach,CA,Fort Worth,TX,tier1_core,high demand metro to metro lane
Long Beach,CA,Houston,TX,tier1_core,high demand metro to metro lane
Long Beach,CA,San Antonio,TX,tier1_core,high demand metro to metro lane
Long Beach,CA,Austin,TX,tier1_core,high demand metro to metro lane
Long Beach,CA,Kansas City,MO,tier1_core,high demand metro to metro lane
Long Beach,CA,St Louis,MO,tier1_core,high demand metro to metro lane
Long Beach,CA,Chicago,IL,tier1_core,high demand metro to metro lane
Long Beach,CA,Indianapolis,IN,tier1_core,high demand metro to metro lane
Long Beach,CA,Columbus,OH,tier1_core,high demand metro to metro lane
Long Beach,CA,Cincinnati,OH,tier1_core,high demand metro to metro lane
Long Beach,CA,Cleveland,OH,tier1_core,high demand metro to metro lane
Long Beach,CA,Detroit,MI,tier1_core,high demand metro to metro lane
Long Beach,CA,Minneapolis,MN,tier1_core,high demand metro to metro lane
Long Beach,CA,Milwaukee,WI,tier1_core,high demand metro to metro lane
Long Beach,CA,Nashville,TN,tier1_core,high demand metro to metro lane
Long Beach,CA,Memphis,TN,tier1_core,high demand metro to metro lane
Long Beach,CA,Atlanta,GA,tier1_core,high demand metro to metro lane
Long Beach,CA,Charlotte,NC,tier1_core,high demand metro to metro lane
Long Beach,CA,Raleigh,NC,tier1_core,high demand metro to metro lane
Long Beach,CA,Jacksonville,FL,tier1_core,high demand metro to metro lane
Long Beach,CA,Orlando,FL,tier1_core,high demand metro to metro lane
Long Beach,CA,Tampa,FL,tier1_core,high demand metro to metro lane
Long Beach,CA,Miami,FL,tier1_core,high demand metro to metro lane
Long Beach,CA,New York,NY,tier1_core,high demand metro to metro lane
Long Beach,CA,Newark,NJ,tier1_core,high demand metro to metro lane
Long Beach,CA,Philadelphia,PA,tier1_core,high demand metro to metro lane
Long Beach,CA,Baltimore,MD,tier1_core,high demand metro to metro lane
San Francisco,CA,Los Angeles,CA,tier1_core,high demand metro to metro lane
San Francisco,CA,Long Beach,CA,tier1_core,high demand metro to metro lane
San Francisco,CA,Oakland,CA,tier1_core,high demand metro to metro lane
San Francisco,CA,San Diego,CA,tier1_core,high demand metro to metro lane
San Francisco,CA,Phoenix,AZ,tier1_core,high demand metro to metro lane
San Francisco,CA,Las Vegas,NV,tier1_core,high demand metro to metro lane
San Francisco,CA,Seattle,WA,tier1_core,high demand metro to metro lane
San Francisco,CA,Tacoma,WA,tier1_core,high demand metro to metro lane
San Francisco,CA,Portland,OR,tier1_core,high demand metro to metro lane
San Francisco,CA,Salt Lake City,UT,tier1_core,high demand metro to metro lane
San Francisco,CA,Denver,CO,tier1_core,high demand metro to metro lane
San Francisco,CA,Dallas,TX,tier1_core,high demand metro to metro lane
San Francisco,CA,Fort Worth,TX,tier1_core,high demand metro to metro lane
San Francisco,CA,Houston,TX,tier1_core,high demand metro to metro lane
San Francisco,CA,San Antonio,TX,tier1_core,high demand metro to metro lane
San Francisco,CA,Austin,TX,tier1_core,high demand metro to metro lane
San Francisco,CA,Kansas City,MO,tier1_core,high demand metro to metro lane
San Francisco,CA,St Louis,MO,tier1_core,high demand metro to metro lane
San Francisco,CA,Chicago,IL,tier1_core,high demand metro to metro lane
San Francisco,CA,Indianapolis,IN,tier1_core,high demand metro to metro lane
San Francisco,CA,Columbus,OH,tier1_core,high demand metro to metro lane
San Francisco,CA,Cincinnati,OH,tier1_core,high demand metro to metro lane
San Francisco,CA,Cleveland,OH,tier1_core,high demand metro to metro lane
San Francisco,CA,Detroit,MI,tier1_core,high demand metro to metro lane
San Francisco,CA,Minneapolis,MN,tier1_core,high demand metro to metro lane
San Francisco,CA,Milwaukee,WI,tier1_core,high demand metro to metro lane
San Francisco,CA,Nashville,TN,tier1_core,high demand metro to metro lane
San Francisco,CA,Memphis,TN,tier1_core,high demand metro to metro lane
San Francisco,CA,Atlanta,GA,tier1_core,high demand metro to metro lane
San Francisco,CA,Charlotte,NC,tier1_core,high demand metro to metro lane
San Francisco,CA,Raleigh,NC,tier1_core,high demand metro to metro lane
San Francisco,CA,Jacksonville,FL,tier1_core,high demand metro to metro lane
San Francisco,CA,Orlando,FL,tier1_core,high demand metro to metro lane
San Francisco,CA,Tampa,FL,tier1_core,high demand metro to metro lane
San Francisco,CA,Miami,FL,tier1_core,high demand metro to metro lane
San Francisco,CA,New York,NY,tier1_core,high demand metro to metro lane
San Francisco,CA,Newark,NJ,tier1_core,high demand metro to metro lane
San Francisco,CA,Philadelphia,PA,tier1_core,high demand metro to metro lane
San Francisco,CA,Baltimore,MD,tier1_core,high demand metro to metro lane
Oakland,CA,Los Angeles,CA,tier1_core,high demand metro to metro lane
Oakland,CA,Long Beach,CA,tier1_core,high demand metro to metro lane
Oakland,CA,San Francisco,CA,tier1_core,high demand metro to metro lane
Oakland,CA,San Diego,CA,tier1_core,high demand metro to metro lane
Oakland,CA,Phoenix,AZ,tier1_core,high demand metro to metro lane
Oakland,CA,Las Vegas,NV,tier1_core,high demand metro to metro lane
Oakland,CA,Seattle,WA,tier1_core,high demand metro to metro lane
Oakland,CA,Tacoma,WA,tier1_core,high demand metro to metro lane
Oakland,CA,Portland,OR,tier1_core,high demand metro to metro lane
Oakland,CA,Salt Lake City,UT,tier1_core,high demand metro to metro lane
Oakland,CA,Denver,CO,tier1_core,high demand metro to metro lane
Oakland,CA,Dallas,TX,tier1_core,high demand metro to metro lane
Oakland,CA,Fort Worth,TX,tier1_core,high demand metro to metro lane
Oakland,CA,Houston,TX,tier1_core,high demand metro to metro lane
Oakland,CA,San Antonio,TX,tier1_core,high demand metro to metro lane
Oakland,CA,Austin,TX,tier1_core,high demand metro to metro lane
Oakland,CA,Kansas City,MO,tier1_core,high demand metro to metro lane
Oakland,CA,St Louis,MO,tier1_core,high demand metro to metro lane
Oakland,CA,Chicago,IL,tier1_core,high demand metro to metro lane
Oakland,CA,Indianapolis,IN,tier1_core,high demand metro to metro lane
Oakland,CA,Columbus,OH,tier1_core,high demand metro to metro lane
Oakland,CA,Cincinnati,OH,tier1_core,high demand metro to metro lane
Oakland,CA,Cleveland,OH,tier1_core,high demand metro to metro lane
Oakland,CA,Detroit,MI,tier1_core,high demand metro to metro lane
Oakland,CA,Minneapolis,MN,tier1_core,high demand metro to metro lane
Oakland,CA,Milwaukee,WI,tier1_core,high demand metro to metro lane
Oakland,CA,Nashville,TN,tier1_core,high demand metro to metro lane
Oakland,CA,Memphis,TN,tier1_core,high demand metro to metro lane
Oakland,CA,Atlanta,GA,tier1_core,high demand metro to metro lane
Oakland,CA,Charlotte,NC,tier1_core,high demand metro to metro lane
Oakland,CA,Raleigh,NC,tier1_core,high demand metro to metro lane
Oakland,CA,Jacksonville,FL,tier1_core,high demand metro to metro lane
Oakland,CA,Orlando,FL,tier1_core,high demand metro to metro lane
Oakland,CA,Tampa,FL,tier1_core,high demand metro to metro lane
Oakland,CA,Miami,FL,tier1_core,high demand metro to metro lane
Oakland,CA,New York,NY,tier1_core,high demand metro to metro lane
Oakland,CA,Newark,NJ,tier1_core,high demand metro to metro lane
Oakland,CA,Philadelphia,PA,tier1_core,high demand metro to metro lane
Oakland,CA,Baltimore,MD,tier1_core,high demand metro to metro lane
San Diego,CA,Los Angeles,CA,tier1_core,high demand metro to metro lane
San Diego,CA,Long Beach,CA,tier1_core,high demand metro to metro lane
San Diego,CA,San Francisco,CA,tier1_core,high demand metro to metro lane
San Diego,CA,Oakland,CA,tier1_core,high demand metro to metro lane
San Diego,CA,Phoenix,AZ,tier1_core,high demand metro to metro lane
San Diego,CA,Las Vegas,NV,tier1_core,high demand metro to metro lane
San Diego,CA,Seattle,WA,tier1_core,high demand metro to metro lane
San Diego,CA,Tacoma,WA,tier1_core,high demand metro to metro lane
San Diego,CA,Portland,OR,tier1_core,high demand metro to metro lane
San Diego,CA,Salt Lake City,UT,tier1_core,high demand metro to metro lane
San Diego,CA,Denver,CO,tier1_core,high demand metro to metro lane
San Diego,CA,Dallas,TX,tier1_core,high demand metro to metro lane
San Diego,CA,Fort Worth,TX,tier1_core,high demand metro to metro lane
San Diego,CA,Houston,TX,tier1_core,high demand metro to metro lane
San Diego,CA,San Antonio,TX,tier1_core,high demand metro to metro lane
San Diego,CA,Austin,TX,tier1_core,high demand metro to metro lane
San Diego,CA,Kansas City,MO,tier1_core,high demand metro to metro lane
San Diego,CA,St Louis,MO,tier1_core,high demand metro to metro lane
San Diego,CA,Chicago,IL,tier1_core,high demand metro to metro lane
San Diego,CA,Indianapolis,IN,tier1_core,high demand metro to metro lane
San Diego,CA,Columbus,OH,tier1_core,high demand metro to metro lane
San Diego,CA,Cincinnati,OH,tier1_core,high demand metro to metro lane
San Diego,CA,Cleveland,OH,tier1_core,high demand metro to metro lane
San Diego,CA,Detroit,MI,tier1_core,high demand metro to metro lane
San Diego,CA,Minneapolis,MN,tier1_core,high demand metro to metro lane
San Diego,CA,Milwaukee,WI,tier1_core,high demand metro to metro lane
San Diego,CA,Nashville,TN,tier1_core,high demand metro to metro lane
San Diego,CA,Memphis,TN,tier1_core,high demand metro to metro lane
San Diego,CA,Atlanta,GA,tier1_core,high demand metro to metro lane
San Diego,CA,Charlotte,NC,tier1_core,high demand metro to metro lane
San Diego,CA,Raleigh,NC,tier1_core,high demand metro to metro lane
San Diego,CA,Jacksonville,FL,tier1_core,high demand metro to metro lane
San Diego,CA,Orlando,FL,tier1_core,high demand metro to metro lane
San Diego,CA,Tampa,FL,tier1_core,high demand metro to metro lane
San Diego,CA,Miami,FL,tier1_core,high demand metro to metro lane
San Diego,CA,New York,NY,tier1_core,high demand metro to metro lane
San Diego,CA,Newark,NJ,tier1_core,high demand metro to metro lane
San Diego,CA,Philadelphia,PA,tier1_core,high demand metro to metro lane
San Diego,CA,Baltimore,MD,tier1_core,high demand metro to metro lane
Phoenix,AZ,Los Angeles,CA,tier1_core,high demand metro to metro lane
Phoenix,AZ,Long Beach,CA,tier1_core,high demand metro to metro lane
Phoenix,AZ,San Francisco,CA,tier1_core,high demand metro to metro lane
Phoenix,AZ,Oakland,CA,tier1_core,high demand metro to metro lane
Phoenix,AZ,San Diego,CA,tier1_core,high demand metro to metro lane
Phoenix,AZ,Las Vegas,NV,tier1_core,high demand metro to metro lane
Phoenix,AZ,Seattle,WA,tier1_core,high demand metro to metro lane
Phoenix,AZ,Tacoma,WA,tier1_core,high demand metro to metro lane
Phoenix,AZ,Portland,OR,tier1_core,high demand metro to metro lane
Phoenix,AZ,Salt Lake City,UT,tier1_core,high demand metro to metro lane
Phoenix,AZ,Denver,CO,tier1_core,high demand metro to metro lane
Phoenix,AZ,Dallas,TX,tier1_core,high demand metro to metro lane
Phoenix,AZ,Fort Worth,TX,tier1_core,high demand metro to metro lane
Phoenix,AZ,Houston,TX,tier1_core,high demand metro to metro lane
Phoenix,AZ,San Antonio,TX,tier1_core,high demand metro to metro lane
Phoenix,AZ,Austin,TX,tier1_core,high demand metro to metro lane
Phoenix,AZ,Kansas City,MO,tier1_core,high demand metro to metro lane
Phoenix,AZ,St Louis,MO,tier1_core,high demand metro to metro lane
Phoenix,AZ,Chicago,IL,tier1_core,high demand metro to metro lane
Phoenix,AZ,Indianapolis,IN,tier1_core,high demand metro to metro lane
Phoenix,AZ,Columbus,OH,tier1_core,high demand metro to metro lane
Phoenix,AZ,Cincinnati,OH,tier1_core,high demand metro to metro lane
Phoenix,AZ,Cleveland,OH,tier1_core,high demand metro to metro lane
Phoenix,AZ,Detroit,MI,tier1_core,high demand metro to metro lane
Phoenix,AZ,Minneapolis,MN,tier1_core,high demand metro to metro lane
Phoenix,AZ,Milwaukee,WI,tier1_core,high demand metro to metro lane
Phoenix,AZ,Nashville,TN,tier1_core,high demand metro to metro lane
Phoenix,AZ,Memphis,TN,tier1_core,high demand metro to metro lane
Phoenix,AZ,Atlanta,GA,tier1_core,high demand metro to metro lane
Phoenix,AZ,Charlotte,NC,tier1_core,high demand metro to metro lane
Phoenix,AZ,Raleigh,NC,tier1_core,high demand metro to metro lane
Phoenix,AZ,Jacksonville,FL,tier1_core,high demand metro to metro lane
Phoenix,AZ,Orlando,FL,tier1_core,high demand metro to metro lane
Phoenix,AZ,Tampa,FL,tier1_core,high demand metro to metro lane
Phoenix,AZ,Miami,FL,tier1_core,high demand metro to metro lane
Phoenix,AZ,New York,NY,tier1_core,high demand metro to metro lane
Phoenix,AZ,Newark,NJ,tier1_core,high demand metro to metro lane
Phoenix,AZ,Philadelphia,PA,tier1_core,high demand metro to metro lane
Phoenix,AZ,Baltimore,MD,tier1_core,high demand metro to metro lane
Las Vegas,NV,Los Angeles,CA,tier1_core,high demand metro to metro lane
Las Vegas,NV,Long Beach,CA,tier1_core,high demand metro to metro lane
Las Vegas,NV,San Francisco,CA,tier1_core,high demand metro to metro lane
Las Vegas,NV,Oakland,CA,tier1_core,high demand metro to metro lane
Las Vegas,NV,San Diego,CA,tier1_core,high demand metro to metro lane
Las Vegas,NV,Phoenix,AZ,tier1_core,high demand metro to metro lane
Las Vegas,NV,Seattle,WA,tier1_core,high demand metro to metro lane
Las Vegas,NV,Tacoma,WA,tier1_core,high demand metro to metro lane
Las Vegas,NV,Portland,OR,tier1_core,high demand metro to metro lane
Las Vegas,NV,Salt Lake City,UT,tier1_core,high demand metro to metro lane
Las Vegas,NV,Denver,CO,tier1_core,high demand metro to metro lane
Las Vegas,NV,Dallas,TX,tier1_core,high demand metro to metro lane
Las Vegas,NV,Fort Worth,TX,tier1_core,high demand metro to metro lane
Las Vegas,NV,Houston,TX,tier1_core,high demand metro to metro lane
Las Vegas,NV,San Antonio,TX,tier1_core,high demand metro to metro lane
Las Vegas,NV,Austin,TX,tier1_core,high demand metro to metro lane
Las Vegas,NV,Kansas City,MO,tier1_core,high demand metro to metro lane
Las Vegas,NV,St Louis,MO,tier1_core,high demand metro to metro lane
Las Vegas,NV,Chicago,IL,tier1_core,high demand metro to metro lane
Las Vegas,NV,Indianapolis,IN,tier1_core,high demand metro to metro lane
Las Vegas,NV,Columbus,OH,tier1_core,high demand metro to metro lane
Las Vegas,NV,Cincinnati,OH,tier1_core,high demand metro to metro lane
Las Vegas,NV,Cleveland,OH,tier1_core,high demand metro to metro lane
Las Vegas,NV,Detroit,MI,tier1_core,high demand metro to metro lane
Las Vegas,NV,Minneapolis,MN,tier1_core,high demand metro to metro lane
Las Vegas,NV,Milwaukee,WI,tier1_core,high demand metro to metro lane
Las Vegas,NV,Nashville,TN,tier1_core,high demand metro to metro lane
Las Vegas,NV,Memphis,TN,tier1_core,high demand metro to metro lane
Las Vegas,NV,Atlanta,GA,tier1_core,high demand metro to metro lane
Las Vegas,NV,Charlotte,NC,tier1_core,high demand metro to metro lane
Las Vegas,NV,Raleigh,NC,tier1_core,high demand metro to metro lane
Las Vegas,NV,Jacksonville,FL,tier1_core,high demand metro to metro lane
Las Vegas,NV,Orlando,FL,tier1_core,high demand metro to metro lane
Las Vegas,NV,Tampa,FL,tier1_core,high demand metro to metro lane
Las Vegas,NV,Miami,FL,tier1_core,high demand metro to metro lane
Las Vegas,NV,New York,NY,tier1_core,high demand metro to metro lane
Las Vegas,NV,Newark,NJ,tier1_core,high demand metro to metro lane
Las Vegas,NV,Philadelphia,PA,tier1_core,high demand metro to metro lane
Las Vegas,NV,Baltimore,MD,tier1_core,high demand metro to metro lane
Seattle,WA,Los Angeles,CA,tier1_core,high demand metro to metro lane
Seattle,WA,Long Beach,CA,tier1_core,high demand metro to metro lane
Seattle,WA,San Francisco,CA,tier1_core,high demand metro to metro lane
Seattle,WA,Oakland,CA,tier1_core,high demand metro to metro lane
Seattle,WA,San Diego,CA,tier1_core,high demand metro to metro lane
Seattle,WA,Phoenix,AZ,tier1_core,high demand metro to metro lane
Seattle,WA,Las Vegas,NV,tier1_core,high demand metro to metro lane
Seattle,WA,Tacoma,WA,tier1_core,high demand metro to metro lane
Seattle,WA,Portland,OR,tier1_core,high demand metro to metro lane
Seattle,WA,Salt Lake City,UT,tier1_core,high demand metro to metro lane
Seattle,WA,Denver,CO,tier1_core,high demand metro to metro lane
Seattle,WA,Dallas,TX,tier1_core,high demand metro to metro lane
Seattle,WA,Fort Worth,TX,tier1_core,high demand metro to metro lane
Seattle,WA,Houston,TX,tier1_core,high demand metro to metro lane
Seattle,WA,San Antonio,TX,tier1_core,high demand metro to metro lane
Seattle,WA,Austin,TX,tier1_core,high demand metro to metro lane
Seattle,WA,Kansas City,MO,tier1_core,high demand metro to metro lane
Seattle,WA,St Louis,MO,tier1_core,high demand metro to metro lane
Seattle,WA,Chicago,IL,tier1_core,high demand metro to metro lane
Seattle,WA,Indianapolis,IN,tier1_core,high demand metro to metro lane
Seattle,WA,Columbus,OH,tier1_core,high demand metro to metro lane
Seattle,WA,Cincinnati,OH,tier1_core,high demand metro to metro lane
Seattle,WA,Cleveland,OH,tier1_core,high demand metro to metro lane
Seattle,WA,Detroit,MI,tier1_core,high demand metro to metro lane
Seattle,WA,Minneapolis,MN,tier1_core,high demand metro to metro lane
Seattle,WA,Milwaukee,WI,tier1_core,high demand metro to metro lane
Seattle,WA,Nashville,TN,tier1_core,high demand metro to metro lane
Seattle,WA,Memphis,TN,tier1_core,high demand metro to metro lane
Seattle,WA,Atlanta,GA,tier1_core,high demand metro to metro lane
Seattle,WA,Charlotte,NC,tier1_core,high demand metro to metro lane
Seattle,WA,Raleigh,NC,tier1_core,high demand metro to metro lane
Seattle,WA,Jacksonville,FL,tier1_core,high demand metro to metro lane
Seattle,WA,Orlando,FL,tier1_core,high demand metro to metro lane
Seattle,WA,Tampa,FL,tier1_core,high demand metro to metro lane
Seattle,WA,Miami,FL,tier1_core,high demand metro to metro lane
Seattle,WA,New York,NY,tier1_core,high demand metro to metro lane
Seattle,WA,Newark,NJ,tier1_core,high demand metro to metro lane
Seattle,WA,Philadelphia,PA,tier1_core,high demand metro to metro lane
Seattle,WA,Baltimore,MD,tier1_core,high demand metro to metro lane
Tacoma,WA,Los Angeles,CA,tier1_core,high demand metro to metro lane
Tacoma,WA,Long Beach,CA,tier1_core,high demand metro to metro lane
Tacoma,WA,San Francisco,CA,tier1_core,high demand metro to metro lane
Tacoma,WA,Oakland,CA,tier1_core,high demand metro to metro lane
Tacoma,WA,San Diego,CA,tier1_core,high demand metro to metro lane
Tacoma,WA,Phoenix,AZ,tier1_core,high demand metro to metro lane
Tacoma,WA,Las Vegas,NV,tier1_core,high demand metro to metro lane
Tacoma,WA,Seattle,WA,tier1_core,high demand metro to metro lane
Tacoma,WA,Portland,OR,tier1_core,high demand metro to metro lane
Tacoma,WA,Salt Lake City,UT,tier1_core,high demand metro to metro lane
Tacoma,WA,Denver,CO,tier1_core,high demand metro to metro lane
Tacoma,WA,Dallas,TX,tier1_core,high demand metro to metro lane
Tacoma,WA,Fort Worth,TX,tier1_core,high demand metro to metro lane
Tacoma,WA,Houston,TX,tier1_core,high demand metro to metro lane
Tacoma,WA,San Antonio,TX,tier1_core,high demand metro to metro lane
Tacoma,WA,Austin,TX,tier1_core,high demand metro to metro lane
Tacoma,WA,Kansas City,MO,tier1_core,high demand metro to metro lane
Tacoma,WA,St Louis,MO,tier1_core,high demand metro to metro lane
Tacoma,WA,Chicago,IL,tier1_core,high demand metro to metro lane
Tacoma,WA,Indianapolis,IN,tier1_core,high demand metro to metro lane
Tacoma,WA,Columbus,OH,tier1_core,high demand metro to metro lane
Tacoma,WA,Cincinnati,OH,tier1_core,high demand metro to metro lane
Tacoma,WA,Cleveland,OH,tier1_core,high demand metro to metro lane
Tacoma,WA,Detroit,MI,tier1_core,high demand metro to metro lane
Tacoma,WA,Minneapolis,MN,tier1_core,high demand metro to metro lane
Tacoma,WA,Milwaukee,WI,tier1_core,high demand metro to metro lane
Tacoma,WA,Nashville,TN,tier1_core,high demand metro to metro lane
Tacoma,WA,Memphis,TN,tier1_core,high demand metro to metro lane
Tacoma,WA,Atlanta,GA,tier1_core,high demand metro to metro lane
Tacoma,WA,Charlotte,NC,tier1_core,high demand metro to metro lane
Tacoma,WA,Raleigh,NC,tier1_core,high demand metro to metro lane
Tacoma,WA,Jacksonville,FL,tier1_core,high demand metro to metro lane
Tacoma,WA,Orlando,FL,tier1_core,high demand metro to metro lane
Tacoma,WA,Tampa,FL,tier1_core,high demand metro to metro lane
Tacoma,WA,Miami,FL,tier1_core,high demand metro to metro lane
Tacoma,WA,New York,NY,tier1_core,high demand metro to metro lane
Tacoma,WA,Newark,NJ,tier1_core,high demand metro to metro lane
Tacoma,WA,Philadelphia,PA,tier1_core,high demand metro to metro lane
Tacoma,WA,Baltimore,MD,tier1_core,high demand metro to metro lane
Portland,OR,Los Angeles,CA,tier1_core,high demand metro to metro lane
Portland,OR,Long Beach,CA,tier1_core,high demand metro to metro lane
Portland,OR,San Francisco,CA,tier1_core,high demand metro to metro lane
Portland,OR,Oakland,CA,tier1_core,high demand metro to metro lane
Portland,OR,San Diego,CA,tier1_core,high demand metro to metro lane
Portland,OR,Phoenix,AZ,tier1_core,high demand metro to metro lane
Portland,OR,Las Vegas,NV,tier1_core,high demand metro to metro lane
Portland,OR,Seattle,WA,tier1_core,high demand metro to metro lane
Portland,OR,Tacoma,WA,tier1_core,high demand metro to metro lane
Portland,OR,Salt Lake City,UT,tier1_core,high demand metro to metro lane
Portland,OR,Denver,CO,tier1_core,high demand metro to metro lane
Portland,OR,Dallas,TX,tier1_core,high demand metro to metro lane
Portland,OR,Fort Worth,TX,tier1_core,high demand metro to metro lane
Portland,OR,Houston,TX,tier1_core,high demand metro to metro lane
Portland,OR,San Antonio,TX,tier1_core,high demand metro to metro lane
Portland,OR,Austin,TX,tier1_core,high demand metro to metro lane
Portland,OR,Kansas City,MO,tier1_core,high demand metro to metro lane
Portland,OR,St Louis,MO,tier1_core,high demand metro to metro lane
Portland,OR,Chicago,IL,tier1_core,high demand metro to metro lane
Portland,OR,Indianapolis,IN,tier1_core,high demand metro to metro lane
Portland,OR,Columbus,OH,tier1_core,high demand metro to metro lane
Portland,OR,Cincinnati,OH,tier1_core,high demand metro to metro lane
Portland,OR,Cleveland,OH,tier1_core,high demand metro to metro lane
Portland,OR,Detroit,MI,tier1_core,high demand metro to metro lane
Portland,OR,Minneapolis,MN,tier1_core,high demand metro to metro lane
Portland,OR,Milwaukee,WI,tier1_core,high demand metro to metro lane
Portland,OR,Nashville,TN,tier1_core,high demand metro to metro lane
Portland,OR,Memphis,TN,tier1_core,high demand metro to metro lane
Portland,OR,Atlanta,GA,tier1_core,high demand metro to metro lane
Portland,OR,Charlotte,NC,tier1_core,high demand metro to metro lane
Portland,OR,Raleigh,NC,tier1_core,high demand metro to metro lane
Portland,OR,Jacksonville,FL,tier1_core,high demand metro to metro lane
Portland,OR,Orlando,FL,tier1_core,high demand metro to metro lane
Portland,OR,Tampa,FL,tier1_core,high demand metro to metro lane
Portland,OR,Miami,FL,tier1_core,high demand metro to metro lane
Portland,OR,New York,NY,tier1_core,high demand metro to metro lane
Portland,OR,Newark,NJ,tier1_core,high demand metro to metro lane
Portland,OR,Philadelphia,PA,tier1_core,high demand metro to metro lane
Portland,OR,Baltimore,MD,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Los Angeles,CA,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Long Beach,CA,tier1_core,high demand metro to metro lane
Salt Lake City,UT,San Francisco,CA,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Oakland,CA,tier1_core,high demand metro to metro lane
Salt Lake City,UT,San Diego,CA,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Phoenix,AZ,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Las Vegas,NV,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Seattle,WA,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Tacoma,WA,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Portland,OR,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Denver,CO,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Dallas,TX,tier1_core,high demand metro to metro lane
Salt Lake City,UT,Fort Worth,TX,tier1_core,high demand metro to metro lane
